City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
233,Port Lincoln,AU,2021-06-04 19:17:03,-34.7333,135.8667,54.82,83,56,10.54
234,Ouadda,CF,2021-06-04 19:17:03,8.0777,22.4007,71.04,88,99,0.72
235,Coihaique,CL,2021-06-04 19:17:04,-45.5752,-72.0662,45.21,75,40,6.91
236,Pitimbu,BR,2021-06-04 19:17:04,-7.4706,-34.8086,82.99,68,28,13.71
237,Vaitape,PF,2021-06-04 19:17:04,-16.5167,-151.75,79.97,76,43,9.37
238,Mariental,NA,2021-06-04 19:17:04,-24.6333,17.9667,56.75,32,0,12.15
239,Tongliao,CN,2021-06-04 19:12:46,43.6125,122.2653,59.68,58,100,13.56
240,Takaka,NZ,2021-06-04 19:17:05,-40.85,172.8,51.57,88,67,2.86
241,San Rafael,AR,2021-06-04 19:15:45,-34.6177,-68.3301,63.75,51,11,10.69
242,Aklavik,CA,2021-06-04 19:17:05,68.2191,-135.0107,41.72,87,90,12.66
243,Hurricane,US,2021-06-04 19:17:06,37.1753,-113.2899,102.54,12,53,13.35
244,Airai,TL,2021-06-04 19:17:06,-8.9266,125.4092,57.63,91,53,3.33
245,Camacha,PT,2021-06-04 19:17:06,33.0833,-16.3333,63.82,59,40,14.97
246,Praxedis Guerrero,MX,2021-06-04 19:17:07,31.3667,-106.0167,81.99,24,74,8.08
247,Husavik,IS,2021-06-04 19:17:07,66.0449,-17.3389,55.31,70,100,6.55
248,Ostersund,SE,2021-06-04 19:15:04,63.1792,14.6357,70.25,32,40,3.44
249,Nikolskoye,RU,2021-06-04 19:17:08,59.7035,30.7861,64.29,69,7,2.77
250,Stokmarknes,NO,2021-06-04 19:17:08,68.5646,14.9108,62.56,72,0,13.8
251,Mahibadhoo,MV,2021-06-04 19:17:08,3.7833,72.9667,82.51,78,100,14.76
252,Talnakh,RU,2021-06-04 19:17:09,69.4865,88.3972,31.73,99,100,5.14
253,Khatanga,RU,2021-06-04 19:17:09,71.9667,102.5,32.25,98,100,11.03
254,Constitucion,CL,2021-06-04 19:15:56,-35.3333,-72.4167,59.07,77,100,14.38
255,Terrace,CA,2021-06-04 19:15:10,54.5163,-128.6035,52.43,93,90,6.91
256,Mount Gambier,AU,2021-06-04 19:17:09,-37.8333,140.7667,42.71,75,90,12.66
257,Carnarvon,AU,2021-06-04 19:17:10,-24.8667,113.6333,51.87,87,0,5.75
258,Elko,US,2021-06-04 19:17:10,41.0002,-115.5012,89.62,13,0,4.0
259,Fort Nelson,CA,2021-06-04 19:15:10,58.8053,-122.7002,63.99,34,40,5.75
260,Cherskiy,RU,2021-06-04 19:17:11,68.75,161.3,62.06,42,100,5.3
261,Touros,BR,2021-06-04 19:17:11,-5.1989,-35.4608,83.3,70,8,14.74
262,Port-Gentil,GA,2021-06-04 19:17:11,-0.7193,8.7815,78.76,89,40,11.5
263,Ekpoma,NG,2021-06-04 19:17:12,6.7421,6.139,72.95,90,100,4.94
264,Stornoway,GB,2021-06-04 19:17:12,58.2093,-6.3865,57.92,67,20,14.97
265,Nara,JP,2021-06-04 19:17:12,34.6851,135.8049,65.48,93,100,2.13
266,Marsa Matruh,EG,2021-06-04 19:17:13,31.3525,27.2453,71.8,64,0,11.5
267,Wanning,CN,2021-06-04 19:17:13,18.8003,110.3967,78.1,93,100,5.53
268,Havelock,US,2021-06-04 19:17:13,34.8791,-76.9013,80.55,86,75,10.36
