City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
281,Axim,GH,4.8699,-2.2405,79.07,86,100,5.66,overcast clouds
282,Caravelas,BR,-17.7125,-39.2481,72.91,85,55,4.7,broken clouds
283,Elmira,US,42.0898,-76.8077,51.01,80,91,3.36,overcast clouds
284,Asau,RO,46.4333,26.4,58.39,100,81,3.4,light rain
285,Hobyo,SO,5.3505,48.5268,78.04,82,93,15.88,overcast clouds
286,Faanui,PF,-16.4833,-151.75,81.27,66,10,8.5,clear sky
287,Malakal,SS,9.5334,31.6605,79.23,66,91,3.94,overcast clouds
288,Ancud,CL,-41.8697,-73.8203,49.53,86,100,20.47,light rain
289,Mandalgovi,MN,45.7625,106.2708,68.32,30,2,21.21,clear sky
290,Puerto Del Rosario,ES,28.5004,-13.8627,67.75,73,100,10.36,overcast clouds
291,Saldanha,ZA,-33.0117,17.9442,57.25,89,100,14.92,overcast clouds
292,Kalmunai,LK,7.4167,81.8167,84.65,62,18,1.74,few clouds
293,Kondagaon,IN,19.6,81.6667,91.13,35,100,9.78,overcast clouds
294,Nsanje,MW,-16.92,35.262,59.5,97,0,0.63,clear sky
295,Kalia,BD,23.0396,89.6328,89.89,65,30,14.94,scattered clouds
296,Kiunga,PG,-6.1219,141.2906,84.15,64,100,4.07,overcast clouds
297,Alta Floresta,BR,-9.8756,-56.0861,69.82,75,12,2.24,few clouds
298,Bereda,ES,43.2686,-7.5406,56.57,100,100,0.96,overcast clouds
299,The Pas,CA,53.8251,-101.2541,51.82,43,1,14.54,clear sky
300,Peniche,PT,39.3558,-9.3811,63.73,89,36,9.37,scattered clouds
301,Voi,KE,-3.3945,38.563,65.88,92,99,5.66,overcast clouds
302,Upernavik,GL,72.7868,-56.1549,38.32,74,100,6.15,overcast clouds
303,Raudeberg,NO,61.9875,5.1352,47.19,89,27,12.1,scattered clouds
304,Saskylakh,RU,71.9167,114.0833,36.41,63,87,5.19,overcast clouds
305,Kulhudhuffushi,MV,6.6221,73.07,82.85,76,52,19.77,broken clouds
